id,absa_input,absa_target,data_origin
431550,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine. </s>",security is negative; shop organization is negative,manual
431551,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Folosesc acest tip de minge ocazional.Se sparg repede, deoarece camera e cu petice... ,cum am constatat la 2 mingii pe care le-am desfacut.Au fost foarte bune primele modele, rezistau 1-2 ani la utilizare ocazionalaPretul e mic dar calitatea e îndoielnică </s>",price is positive; product is positive; quality is negative,manual
431552,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Avem rugamintea,ca produsele pe care dorim sa le cumparam de la dvs.,in stoc sa existe toate marimile. </s>",shop diversity is negative,manual
431553,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc . </s>",shop organization is negative; staff availability is negative,manual
431554,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced. </s>,misc is neutral,manual
431555,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: am cumparat de doua ori in acea zi, platind de doua ori. prima data am cumparat de 600 lei, si nimeni nu m-a intrebat de card, iar eu am uitat. ar trebui sa intrebe. produse fara cod de bare care necesita timp in plus pentru a fi identificate </s>",staff competency is negative; shop organization is negative,manual
431556,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Problema e aceeasi cu copii care se plimba pe biciclete,role, etc </s>",environment is negative,manual
431557,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc. </s>",delivery is negative; staff competency is negative,manual
431558,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica.. </s>",service is negative; shop organization is negative; staff competency is negative; tech support is negative,manual
431559,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: nu sunt cabine de proba jos, in conditiile in care sunt articole care trebuie probate. Am urcat cu vreo 5 bustiere la cabinele de proba, nici una nu a fost buna; trebuia sa eliberez cabina, sa cobor, sa iau altele, sa urc la cabina, sa stau la coada iarasi...asa ca am renuntat, nu am mai cumparat nimic si am plecat foarte dezamagita. </s>",shop organization is negative,manual
