text,id,aspects_polarities,all_categories,all_categories_old,all_polarities,data_origin,text_cleaned
Experiență avută în magazinul d-voastra a fost una buna.,431668,misc - neutral,misc,misc,Neutral,manual,Experiență avută în magazinul d-voastra a fost una buna.
Nu am gasit ce cautam. Probabil aprovizionarea are probleme.,432048,shop diversity - negative,shop diversity,shop diversity,Negative,manual,Nu am gasit ce cautam. Probabil aprovizionarea are probleme.
Produsele de la raft hara-babura. In totala dezordine.,432254,shop organization - negative,shop organization,shop organization,Negative,manual,Produsele de la raft hara-babura. In totala dezordine.
"foarte slaba oferta dvs. la incaltaminte sport barbati,imbracaminte sport.",432423,shop diversity - negative,shop diversity,shop diversity,Negative,manual,"foarte slaba oferta dvs. la incaltaminte sport barbati,imbracaminte sport."
E super magazinul..imi place ca e foarte aranjat...super treaba,432581,shop organization - positive,shop organization,shop organization,Positive,manual,E super magazinul..imi place ca e foarte aranjat...super treaba
"Un magazin prea mic pt. un oras ca Oradea,.",432699,shop organization - negative,shop organization,shop organization,Negative,manual,"Un magazin prea mic pt. un oras ca Oradea,."
f util. As recomanda introducerea unui dezinfectant in trusa.,432718,product - positive,product,product,Positive,manual,f util. As recomanda introducerea unui dezinfectant in trusa.
"Super mulțumit copilul. Sunt foarte  comzi,îi recomand cu căldură.",432840,product - positive,product,product,Positive,manual,"Super mulțumit copilul. Sunt foarte comzi,îi recomand cu căldură."
Recomand. L-am utilizat si pe incaltaminte si pe rucsac.,432907,product - positive,product,product,Positive,manual,Recomand. L-am utilizat si pe incaltaminte si pe rucsac.
Nu am gasit toate produsele dorite. Personalul foarte amabil.,432911,"{'choices': ['staff competency - positive', 'shop diversity - negative']}",staff competency; shop diversity,staff competency; shop diversity,Positive; Negative,manual,Nu am gasit toate produsele dorite. Personalul foarte amabil.
E loc de mai bine...per ansamblu este ok.,433137,misc - neutral,misc,misc,Neutral,manual,E loc de mai bine...per ansamblu este ok.
Mi-as dori o mai buna prezentare online a produselor.,433171,tech support - negative,tech support,tech support,Negative,manual,Mi-as dori o mai buna prezentare online a produselor.
1. completați cu marfă.2. aranjați prețurile corect la produse.,433286,"{'choices': ['shop organization - negative', 'shop diversity - negative']}",shop organization; shop diversity,shop organization; shop diversity,Negative; Negative,manual,1. completați cu marfă.2. aranjați prețurile corect la produse.
