text,id,aspects_polarities,annotator,all_categories,all_categories_old,all_polarities,data_origin,text_cleaned
"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.",431550,"{'choices': ['security - negative', 'shop organization - negative']}",22,security; shop organization,security; shop organization,Negative; Negative,manual,"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine."
"Folosesc acest tip de minge ocazional.Se sparg repede, deoarece camera e cu petice... ,cum am constatat la 2 mingii pe care le-am desfacut.Au fost foarte bune primele modele, rezistau 1-2 ani la utilizare ocazionalaPretul e mic dar calitatea e îndoielnică",431551,"{'choices': ['price - positive', 'product - positive', 'quality - negative']}",22,price; product; quality,price; product; quality,Positive; Positive; Negative,manual,"Folosesc acest tip de minge ocazional.Se sparg repede, deoarece camera e cu petice... ,cum am constatat la 2 mingii pe care le-am desfacut.Au fost foarte bune primele modele, rezistau 1-2 ani la utilizare ocazionalaPretul e mic dar calitatea e îndoielnică"
"Avem rugamintea,ca produsele pe care dorim sa le cumparam de la dvs.,in stoc sa existe toate marimile.",431552,shop diversity - negative,22,shop diversity,shop diversity,Negative,manual,"Avem rugamintea,ca produsele pe care dorim sa le cumparam de la dvs.,in stoc sa existe toate marimile."
"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .",431553,"{'choices': ['shop organization - negative', 'staff availability - negative']}",22,shop organization; staff availability,shop organization; staff availability,Negative; Negative,manual,"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc ."
You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,431554,misc - neutral,22,misc,misc,Neutral,manual,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.
"am cumparat de doua ori in acea zi, platind de doua ori. prima data am cumparat de 600 lei, si nimeni nu m-a intrebat de card, iar eu am uitat. ar trebui sa intrebe. produse fara cod de bare care necesita timp in plus pentru a fi identificate",431555,"{'choices': ['staff competency - negative', 'shop organization - negative']}",22,staff competency; shop organization,staff competency; shop organization,Negative; Negative,manual,"am cumparat de doua ori in acea zi, platind de doua ori. prima data am cumparat de 600 lei, si nimeni nu m-a intrebat de card, iar eu am uitat. ar trebui sa intrebe. produse fara cod de bare care necesita timp in plus pentru a fi identificate"
"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc",431556,environment - negative,22,environment,environment,Negative,manual,"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc"
"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.",431557,"{'choices': ['delivery - negative', 'staff competency - negative']}",22,delivery; staff competency,delivery; staff competency,Negative; Negative,manual,"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc."
"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..",431558,"{'choices': ['service - negative', 'shop organization - negative', 'staff competency - negative', 'tech support - negative']}",22,service; shop organization; staff competency; tech support,service; shop organization; staff competency; tech support,Negative; Negative; Negative; Negative,manual,"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica.."
"nu sunt cabine de proba jos, in conditiile in care sunt articole care trebuie probate. Am urcat cu vreo 5 bustiere la cabinele de proba, nici una nu a fost buna; trebuia sa eliberez cabina, sa cobor, sa iau altele, sa urc la cabina, sa stau la coada iarasi...asa ca am renuntat, nu am mai cumparat nimic si am plecat foarte dezamagita.",431559,shop organization - negative,22,shop organization,shop organization,Negative,manual,"nu sunt cabine de proba jos, in conditiile in care sunt articole care trebuie probate. Am urcat cu vreo 5 bustiere la cabinele de proba, nici una nu a fost buna; trebuia sa eliberez cabina, sa cobor, sa iau altele, sa urc la cabina, sa stau la coada iarasi...asa ca am renuntat, nu am mai cumparat nimic si am plecat foarte dezamagita."
