text,id,aspects_polarities,annotator,data_origin,text_cleaned,absa_input,absa_target,translated_Romanian_English,language,translated_English_Chinese,translated_Chinese_Romanian
"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.",431550,"{'choices': ['security - negative', 'shop organization - negative']}",22,manual,"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.","In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine. </s>",security is negative; shop organization is negative,"On 12/06/2017, I purchased the fiscal receipt 116, Artengo Outdor flut, code 1495835, and when I got home, I found out that instead of the 3 shuttles shown on the box, there was only one. It doesn't seem normal to me to have to open all the boxes to check if the products are actually in the packaging. The security staff should do their job better.",Romanian,2017年06月12日，我购买了财务收据116，Artengo Outdor羽毛球拍，代码1495835，当我回到家时，我发现盒子上显示的3个羽毛球只有1个。似乎不正常的是，我必须打开所有的箱子来检查产品是否实际上在包装中。安保人员应该更好地做他们的工作。,"La data de 12.06.2017, am cumpărat chitanța financiară nr. 116, o paletă de badminton Artengo Outdor, codul 1495835. Când am ajuns acasă, am descoperit că pe cutie erau afișate 3 mingi de badminton, dar în realitate era doar una. Ceea ce pare anormal este faptul că trebuie să deschid toate cutiile pentru a verifica dacă produsul este realmente în ambalaj. Personalul de securitate ar trebui să își facă treaba mai bine."
"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .",431553,"{'choices': ['shop organization - negative', 'staff availability - negative']}",22,manual,"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .","Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc . </s>",shop organization is negative; staff availability is negative,"The military store is very disorganized, lack of prices on products (very many indeed), lack of specialized personnel in some areas, lack of many products in stock (compared to the website), few staff at the cash registers (you don't need money), etc, etc, etc.",Romanian,军事商店非常混乱，产品没有价格（的确有很多），一些区域缺乏专业人员，库存中缺少许多产品（与网站相比），收银台员工很少（你不需要钱）等等，等等，等等。,"Magazinul militar este foarte haotic, produsele nu au prețuri (într-adevăr, există multe), unele zone lipsesc de personal calificat, stocul lipsește multe produse (comparativ cu site-ul web), angajații casei de marcat sunt foarte puțini (nu ai nevoie de bani) și așa mai departe, și așa mai departe, și așa mai departe."
You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,431554,misc - neutral,22,manual,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced. </s>,misc is neutral,"You do not have the option (or it is not visible enough) to purchase something from a company, thus introducing the company information for which the invoice is to be issued.",Romanian,您没有从公司购买东西的选项（或者说它不够可见），因此需要引入公司信息以便开具发票。,"Nu aveți opțiunea de a cumpăra lucruri de la companie (sau nu este suficient de vizibil), astfel încât trebuie să introduceti informații despre companie pentru a putea emite o factură."
"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc",431556,environment - negative,22,manual,"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc","Problema e aceeasi cu copii care se plimba pe biciclete,role, etc </s>",environment is negative,"The problem is the same with kids who ride bicycles, scooters, etc.",Romanian,问题与骑自行车、滑板车等孩子相同,"Problema este aceeași cu cea a copiilor care merg cu bicicleta, skateboarding etc."
"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.",431557,"{'choices': ['delivery - negative', 'staff competency - negative']}",22,manual,"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.","Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc. </s>",delivery is negative; staff competency is negative,"Good evening, I received this email from you and spent a few hours thinking about whether to respond or not. I decided to respond with the idea that you will take my opinion into consideration. On 24.04.2016, I made purchases at the store in Iuliu Maniu, where I chose a treadmill and a bicycle. A colleague of yours recommended that I have the package delivered by courier and that it would arrive within 48 hours, i.e., Tuesday, 26.04.2016. I agreed, but I wouldn't want it to arrive later than Tuesday because it's a gift. He assured me that it would be delivered on Tuesday through the FAN courier company. I'm writing this email at a time when I haven't even been called by the courier to inform me about the delivery day and time. I hope it's not due to the fault of your employees, so I can continue to have a good opinion. Today, I called the customer service number at the store to ask what was happening with the package, and the person assured me that it is in the possession of the courier. I RECOMMEND THAT YOU CHANGE THIS COURIER, AS FROM MY PERSONAL EXPERIENCE AND IN OTHER CASES, I HAVE SUFFERED FROM IT. ALSO AT MY WORKPLACE WHERE I AM ACTIVE. I hope you take this message into consideration and do something about it. Thank you.",Romanian,晚上好，我收到了您的电子邮件，并花了几个小时思考是否要回复。 我决定回复，希望您能考虑我的意见。 2016年4月24日，我在尤利乌·马纽店铺购买了一些东西，我选择了一台跑步机和一辆自行车。 您的同事建议我通过快递将包裹送到我的家中，并且它将在48小时内到达，即2016年4月26日。 我同意了，但是我希望它不要晚于星期二到达，因为这是一个礼物。 他保证会在星期二通过FAN快递公司将其送到。 现在，我甚至还没有被快递公司打电话通知我关于送货的日期和时间。 我希望这不是因为你们员工的原因，这样我就可以继续对你们有好感。 今天，我打电话给店铺的客户服务热线，询问包裹的情况，他们告诉我包裹已经被快递公司收到了。 我建议您更换这个快递公司，因为根据我的个人经验和其他情况，我一直受到其影响。 在我的工作单位也一样。 希望您能考虑我的意见，并采取行动。 谢谢。,"Bună seara, am primit emailul dvs. și am cheltuit câteva ore gândindu-mă dacă să răspund. Am decis să răspund, sperând că veți lua în considerare opiniile mele. La data de 24 aprilie 2016, am cumpărat ceva de la magazinul Iuliu Maniu, am ales un treadmill și o bicicletă. Colegul dvs. mi-a sugerat să expediez pachetul acasă prin curier și urma să ajungă în 48 de ore, adică pe 26 aprilie 2016. Am fost de acord, dar am dorit ca el să nu întârzie după marți, deoarece era un cadou. El a promis că îl va livra marți prin curierul FAN. Acum, nici măcar nu am primit un telefon de la curier pentru a-mi anunța data și ora livrării. Sper că nu se datorează faptului că angajații dvs. sunt cei care au cauzat asta, așa încât pot continua să am o părere bună despre dumneavoastră. Azi, am sunat la numărul de telefon al serviciului clienți al magazinului și am întrebat despre starea pachetului, iar ei mi-au spus că pachetul a fost preluat de curier. Vă sugerez să schimbați acest curier, deoarece, din experiența mea personală și din alte situații, am fost afectat de el. La locul meu de muncă, la fel. Sper că veți lua în considerare opiniile mele și veți acționa. Mulțumesc."
"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..",431558,"{'choices': ['service - negative', 'shop organization - negative', 'staff competency - negative', 'tech support - negative']}",22,manual,"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..","Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica.. </s>",service is negative; shop organization is negative; staff competency is negative; tech support is negative,"I made an online order at a Decathlon store and at that moment it showed sufficient stock. This was confirmed and I should have picked it up, annoyed but happy - truly, not as happy as my boy who would have used it -, on the same day from this store. That's in a better world. Later - a few hours after ordering -, just as I was on my way to pick up the product, I was called by a Decathlon representative to inform me that the stock was incorrect, that it doesn't decrease unless the product is sold, that this can happen to anyone who orders online, that computers don't have souls, and that my order would be canceled. But there were also two good news: one that I could opt for delivery of the sled in one of the following weeks, and the second that spring is coming and I can invest the money in something else (cool drinks because it will be a hot summer). Thank you for your seriousness. PS: I also posted this comment on the sled, but it, poor thing, has no blame (since it's made of plastic) just like they won't have when they don't publish it..",Romanian,我在一家Decathlon商店在线下单，当时显示有足够的库存。这已经被确认，我应该在同一天从这家商店取货。在一个更好的世界里，事情本应如此。然而，在下单几小时后，就在我准备去取货的时候，Decathlon的代表打电话告诉我，库存是错误的，产品不会减少除非它被卖掉，这可能发生在任何在线下单的人身上，电脑没有灵魂，而且我的订单将被取消。但也有两个好消息：一是我可以选择在接下来的一个星期内送达雪橇，二是春天即将来临，我可以把钱投资到其他东西上（比如凉爽的饮料，因为夏天会很热）。感谢你们的严肃。补充：我也在雪橇上发表了这篇评论，但它，贫困的东西，没有责任（因为它是由塑料制成的），就像他们不会对不发布它负责一样。,"Am plasat o comandă online la un magazin Decathlon, iar atunci când am făcut comanda, s-a afișat că există stoc suficient. Acest lucru a fost confirmat și trebuia să ridic produsul de la acel magazin în aceeași zi. Într-o lume mai bună, lucrurile ar fi trebuit să se desfășoare astfel. Cu toate acestea, câteva ore după plasarea comenzii, chiar înainte de a merge să ridic produsul, un reprezentant Decathlon m-a sunat și mi-a spus că stocul era greșit, iar produsul nu va fi rezervat până când nu este vândut, ceea ce se poate întâmpla oricui care face o comandă online, computerul nu are suflet, iar comanda mea urma să fie anulată. Dar am primit și două vești bune: prima, pot alege livrarea saniei în următoarea săptămână, și a doua, primăvara este pe cale să vină, deci pot investi banii în altceva (cum ar fi băuturi răcoritoare, pentru că va fi cald în vară). Vă mulțumesc pentru seriozitate. Adăugare: am postat și această recenzie pe sania, dar ea, sărmana, nu are nicio vină (pentru că este făcută din plastic), la fel cum nu vor fi trași la răspundere pentru nepublicarea ei."
"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd",431561,"{'choices': ['staff availability - negative', 'shop diversity - negative']}",22,manual,"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd","Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd </s>",staff availability is negative; shop diversity is negative,"I recommend having staff available at each department, it didn't seem okay to me to search the entire store for a sun hat that actually didn't exist... considering that summer season has just begun, I ask you to vary the products for the beach, sun etc.",Romanian,我推荐在每个部门都有员工可供咨询，我觉得整个商店里找一个实际上不存在的太阳帽是不合适的... 考虑到夏季刚刚开始，我请求你们变化一下海滩、晒太阳等产品。,"Vă recomand să aveți angajați la care clienții pot apela în fiecare departament, consider că este inadecvat să căutați un pălărie de soare care în realitate nu există în întregul magazin... Având în vedere că vara a început de curând, vă rog să schimbați produsele legate de plajă, bronzat etc."
"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.",431563,"{'choices': ['staff availability - negative', 'shop organization - negative']}",22,manual,"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.","Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete. </s>",staff availability is negative; shop organization is negative,"Lack of products on the shelf according to the label, lack of staff advice for bicycles.",Romanian,貨架上的商品與標籤不符，缺乏員工對自行車的建議,"Produsele de pe raft nu corespund etichetelor, lipsește sfatul angajaților cu privire la biciclete"
"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.",431567,"{'choices': ['environment - negative', 'staff competency - negative']}",22,manual,"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.","Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam. </s>",environment is negative; staff competency is negative,"Unfortunately, we were disappointed by the chaos in the store. There were kids with bicycles, scooters and all sorts of other similar products, which you had to dodge because otherwise they would run into your feet. The parents were not present at all. On the shelves, the staff could no longer keep up with putting back the products that the children had thrown on the floor, unpacked. In some areas, it was difficult to find an intact product so that we could see what we wanted to buy.",Romanian,不幸的是，我们对商店里的混乱感到失望。那里有孩子们带着自行车、滑板车和其他类似的产品，你必须躲避它们，否则他们会撞到你的脚。父母根本没有在场。在货架上，员工已经无法跟上把孩子们扔在地上的、拆开的产品放回去。在某些区域，很难找到一件完好的商品，以便我们可以看到我们想要购买的东西。,"Din nefericire, am fost dezamăgiți de haosul din magazin. Acolo erau copii cu biciclete, trotinete și alte produse asemănătoare, pe care trebuia să le ocolești, altfel te loveau în picioare. Părinții erau aproape absenți. Pe rafturi, angajații abia țineau pasul cu a pune înapoi produsele desfăcute și aruncate pe jos de către copii. În unele zone, era greu să găsești un articol intact, astfel încât am putut vedea ceea ce doream să cumpărăm."
Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,431571,"{'choices': ['staff availability - negative', 'staff competency - negative']}",22,manual,Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic </s>,staff availability is negative; staff competency is negative,"I stayed at the house for a long time, waiting for an employee from outside to come from smoking. Two employees came to cash in, but they were in a hurry there. They threw away the products and left the store. It affected me psychologically",Romanian,我在家里呆了很长时间，等待一名外面的员工从吸烟回来。两名员工来兑换现金，但他们很赶时间，他们扔掉产品离开商店。这对我产生了心理影响,"Am stat acasă mult timp, așteptând ca un angajat de afară să se întoarcă de la fumat. Doi angajați au venit să schimbe banii, dar erau în grabă, astfel încât au aruncat produsele și au părăsit magazinul. Acest lucru m-a afectat psihic"
