text,id,aspects_polarities,annotator,data_origin,text_cleaned,absa_input,absa_target,cmlm_text
"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.",431550,"{'choices': ['security - negative', 'shop organization - negative']}",22,manual,"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine. </s>",security is negative; shop organization is negative,". in data de 12 / 06 / 2017 cod fiscal 116, am gasit,, artengo out magazi srl,, cod 14975, iar cand am deschis am vazut ca in loc de 3 fluturasi cat arata pe site era doar unul singur. nu mi se pare normal sa vin si sa deschid toate pozele pt a vedea daca marfa se afla intr adevar in stoc. cei de la emag ar trebui sa - si faca treaba mai bine."
"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .",431553,"{'choices': ['shop organization - negative', 'staff availability - negative']}",22,manual,"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc . </s>",shop organization is negative; staff availability is negative,". sunt din păcate foarte scumpe, cu prețuri la fel ( foarte multe chiar ), fără personal de lucru pe unele pagini, lipsă foarte multe produse de pe site ( in raport cu website - ul ), personal puțin la fel de bun ( nu aveți nevoie de el ), etc, etc, etc."
You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,431554,misc - neutral,22,manual,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced. </s>,misc is neutral,". you do not have the option ( or it's not vis - enough ) to buy some,ing on a site - to introduce the cpmapny data in which the informe iss."
"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc",431556,environment - negative,22,manual,"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Problema e aceeasi cu copii care se plimba pe biciclete,role, etc </s>",environment is negative,". ideea e aceeasi cu copii care se plimba pe biciclete, role, etc"
"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.",431557,"{'choices': ['delivery - negative', 'staff competency - negative']}",22,manual,"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc. </s>",delivery is negative; staff competency is negative,". buna seara, am primit acest mesaj de la dumneavostra si am stattt sa ma gandesc daca sa va scriu sau nu. am vrut sa va scriu in vedere ca sunteti in situatia mea. in data de 24. 04. 2016 am facut cumparaturi in piata din iuliu maniu la care am primit o banda de alergare si o minge. un curier de la dumneavoastra mia fost caat prin posta si ca va ajunge in maxim 48 ore adica marti 26. 04. 2016. am spune ca este ok dar nu as vrea sa ajunga mai tarziu de maine pentru ca este un curier, el ma anunta ca marti va fi trimis prin firma de curierat fan. va sigur ca pana la acesta ora la care va scriu, nici macar nu am fost sunat de amabil sa imi transmita in ce zi si la ce ora se face plata. sper sa nu fie din neglija dumneavoastra pentru a ramane cu o problema in continuare. azi am fost la biroul de suport cu clienti din cluj sa intreb ce se intampla cu el iar ei ma asigurat ca este in siguranta. va recomand pentru a nu pierde clienti din acest motiv sa schimbati acest curier care din din experienta persona si in alte cazuri am avut de suferia. inclusiv si la locul meu de munca la care lucrez. sper sa ajunga acest m, m in curand si sa fac ceva. va multumesc."
"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..",431558,"{'choices': ['service - negative', 'shop organization - negative', 'staff competency - negative', 'tech support - negative']}",22,manual,"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica.. </s>",service is negative; shop organization is negative; staff competency is negative; tech support is negative,". am facut o comanda online la o firma si la timpul respectiv aceasta era cu un altator. aceasta a fost facuta si eu ar fi putut sa o cumpar, infrigurat dar mi - e drept, nu asa de rau ca sotul meu care ar fi folosit - o -, in aceeasor zi de la acest site. asta intr - o zi mai buna. ulterior - la cateva zile de la comanda -, chiar cand eram pe cale sa platesc, am fost sunat de un agent decathlon ca sa mi se comunice ca nu era online, ca nu se scade pretul atunci cand se vinde online, ca asta se poate aplica oricui care comanda online, ca _ calculatoarele n - au erori si ca mi se va returna dar ca sunt si doua varianlitati : una ca pot opta pentru bicicl data intr - una din locatii si a doua ca vine vara si ca pot investi in altceva ( presup ales ca va fi o vara calduroasa ). multumesc pentru ajutor : am gasit acest produs si la ea dar ea, inca, nu are nici o vina ( ca - i de vara ) cum nici ei nu vor avea cand nu mi - l vor..."
"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd",431561,"{'choices': ['staff availability - negative', 'shop diversity - negative']}",22,manual,"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd </s>",staff availability is negative; shop diversity is negative,". recomand personal disponibil la fiecare ora, nu mi s - a intamplat sa ma duc in tot orasul sa gasesc o crema de cazare care de fapt nici nu exista... avand in vedere ca sezonul cald e de abia la final va rog sa variati produsele pt plaja, soare."
"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.",431563,"{'choices': ['staff availability - negative', 'shop organization - negative']}",22,manual,"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete. </s>",staff availability is negative; shop organization is negative,". lipsa produse la raft conform etichetei, lipsa personal pentru biciclete."
"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.",431567,"{'choices': ['environment - negative', 'staff competency - negative']}",22,manual,"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam. </s>",environment is negative; staff competency is negative,". din nou am fost uimit de haosul din jur. erau oameni cu role, trotinete si tot felul de alte produse de acolo, pe care trebuia sa ii duci tu pentru ca altfel iti intrau in cap. si nu erau deloc ok. la raft, nimeni nu mai facea fata sa puna la loce pe care altii le aruncauu pe jos, etc. in anumite zone, a fost greu sa gasim un loc intact astfel incat sa vedem ce urma sa fie."
Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,431571,"{'choices': ['staff availability - negative', 'staff competency - negative']}",22,manual,Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic </s>,staff availability is negative; staff competency is negative,. de la mai mult sa vina un om de afara de la fumat. venit doi angajati la mine insa se juca p acolo. aruncat banii si tot din magazin. m au facut la psihic
