text,id,all_categories,all_ate,all_polarities,data_origin,text_cleaned,all_categories_old
Am comandat produsele luni si le-am primit sâmbăta...prea mult timp...,421321,delivery,Am comandat produsele luni si le-am primit sâmbăta...prea mult timp...,Negative,manual,Am comandat produsele luni si le-am primit sâmbăta...prea mult timp...,delivery
"am comandat 2 ceasuri si unul a fost livrat cu tot cu antifurtul din magazin, deci termnul s-a lungit la 4 zile",421322,delivery,"am comandat 2 ceasuri si unul a fost livrat cu tot cu antifurtul din magazin, deci termnul s-a lungit la 4 zile",Negative,manual,"am comandat 2 ceasuri si unul a fost livrat cu tot cu antifurtul din magazin, deci termnul s-a lungit la 4 zile",delivery
Cred ca ar trebui lucrat la o parte din angajati pe partea de amabilitate.,421323,staff competency,Cred ca ar trebui lucrat la o parte din angajati pe partea de amabilitate,Negative,manual,Cred ca ar trebui lucrat la o parte din angajati pe partea de amabilitate.,staff competency
Prima data cand am fost in magazin nu era pe stoc nr cautat de mine.,421324,shop diversity,Prima data cand am fost in magazin nu era pe stoc nr cautat de mine,Negative,manual,Prima data cand am fost in magazin nu era pe stoc nr cautat de mine.,shop diversity
"foarte slab aprovizionat,nu am gasit produsele pe care le-am cautat",421325,shop diversity,"foarte slab aprovizionat,nu am gasit produsele pe care le-am cautat",Negative,manual,"foarte slab aprovizionat,nu am gasit produsele pe care le-am cautat",shop diversity
"Din păcate nu am primit comanda pana astăzi .Fiind plasata de 5 zile,ma așteptam sa ajungă ceva mai repede.",421326,delivery,"Din păcate nu am primit comanda pana astăzi .Fiind plasata de 5 zile,ma așteptam sa ajungă ceva mai repede.",Negative,manual,"Din păcate nu am primit comanda pana astăzi .Fiind plasata de 5 zile,ma așteptam sa ajungă ceva mai repede.",delivery
Magazin slab aprovizionat in special cu produse din categoriile superioare de calitate,421327,shop diversity,Magazin slab aprovizionat in special cu produse din categoriile superioare de calitate,Negative,manual,Magazin slab aprovizionat in special cu produse din categoriile superioare de calitate,shop diversity
"Ar trebui sa aveti mai multi angajati, in special in zilele aglomerate. Am gasit cu greu pe cineva care sa ma consilieze si am stat mult  la coada la casa de marcat.",421328,staff availability,"Ar trebui sa aveti mai multi angajati, in special in zilele aglomerate. Am gasit cu greu pe cineva care sa ma consilieze si am stat mult la coada la casa de marcat.",Negative,manual,"Ar trebui sa aveti mai multi angajati, in special in zilele aglomerate. Am gasit cu greu pe cineva care sa ma consilieze si am stat mult la coada la casa de marcat.",staff availability
Nu era nimeni la biciclete. A trebuit sa caut destul de mult timp pe cineva care sa ma ajute.,421329,staff availability,Nu era nimeni la biciclete. A trebuit sa caut destul de mult timp pe cineva care sa ma ajute.,Negative,manual,Nu era nimeni la biciclete. A trebuit sa caut destul de mult timp pe cineva care sa ma ajute.,staff availability
"Lipsa comunicare, de 2 săptămâni aștept comanda dvs in curs de pregătire ????",421330,staff competency; delivery,Lipsa comunicare;de 2 săptămâni aștept comanda dvs,Negative; Negative,manual,"Lipsa comunicare, de 2 săptămâni aștept comanda dvs in curs de pregătire ????",staff competency;delivery
Am apelat la serviciul de imprimare pe un scaun pe care l-am achizitionat dupa ce am intrebat in prealabil. domnul responsabil a parut a fi deranjat si m-a pus pe mine sa desfac spatarul ca el are treaba si o atitudine total neprofesionista pana la capat.,421331,staff competency,domnul responsabil a parut a fi deranjat si m-a pus pe mine sa desfac spatarul ca el are treaba si o atitudine total neprofesionista pana la capat.,Negative,manual,Am apelat la serviciul de imprimare pe un scaun pe care l-am achizitionat dupa ce am intrebat in prealabil. domnul responsabil a parut a fi deranjat si m-a pus pe mine sa desfac spatarul ca el are treaba si o atitudine total neprofesionista pana la capat.,staff competency
Mai multa communicativitate nu strica niciodata; clientilor le place sa fie informati; suntem capabili sa intelegem orice eroare,421332,staff competency,Mai multa communicativitate nu strica niciodata,Negative,manual,Mai multa communicativitate nu strica niciodata; clientilor le place sa fie informati; suntem capabili sa intelegem orice eroare,staff competency
Nu e normal sa fie doar 2 lucratori la case cu 20 de oameni la coada iar alti 3-4 sa-si faca de lucru in spatele unui monitor.,421333,staff availability; staff competency,Nu e normal sa fie doar 2 lucratori la case cu 20 de oameni la coada;alti 3-4 sa-si faca de lucru in spatele unui monitor,Negative; Negative,manual,Nu e normal sa fie doar 2 lucratori la case cu 20 de oameni la coada iar alti 3-4 sa-si faca de lucru in spatele unui monitor.,staff availability;staff competency
Comunicarea cu personalul magazinului este foarte slaba. Am plasat o comanda in data de 28.08.2016 care nu a ajuns nici pana acum. Am sunat la magazin si nimic ... doar timp pierdut.,421334,staff competency; delivery,Comunicarea cu personalul magazinului este foarte slaba;Am plasat o comanda in data de 28.08.2016 care nu a ajuns nici pana acum,Negative; Negative,manual,Comunicarea cu personalul magazinului este foarte slaba. Am plasat o comanda in data de 28.08.2016 care nu a ajuns nici pana acum. Am sunat la magazin si nimic ... doar timp pierdut.,staff competency;delivery
După nici o lună de zile folosit rar desfăcut cusătură. Model returnat. Nu recomand.,421335,quality; product,După nici o lună de zile folosit rar desfăcut cusătură;Model returnat.,Negative; Negative,manual,După nici o lună de zile folosit rar desfăcut cusătură. Model returnat. Nu recomand.,quality;product
"lipsa marimilor mari la inbracaminte 5xl,6xl!preturi mari comparativ cu cele de pe internet!la produse similare!",421336,shop diversity; price,"lipsa marimilor mari la inbracaminte 5xl,6xl;preturi mari comparativ cu cele de pe internet",Negative; Negative,manual,"lipsa marimilor mari la inbracaminte 5xl,6xl!preturi mari comparativ cu cele de pe internet!la produse similare!",shop diversity;price
Foarte aglomerat prea multi copii pe bicicleta si produsele la raft amestecate,421337,shop organization; environment,produsele la raft amestecate;Foarte aglomerat prea multi copii pe bicicleta,Negative; Negative,manual,Foarte aglomerat prea multi copii pe bicicleta si produsele la raft amestecate,shop organization;environment
"Nu am beneficiat de vreo reducere de pe urma cardului, asa cum s-a spus initial.La ce l-am mai primit, sa fiu urmarit cand trec pe la magazin? Nici macar 0,1%.",421338,service,"Nu am beneficiat de vreo reducere de pe urma cardului, asa cum s-a spus initial",Negative,manual,"Nu am beneficiat de vreo reducere de pe urma cardului, asa cum s-a spus initial.La ce l-am mai primit, sa fiu urmarit cand trec pe la magazin? Nici macar 0,1%.",service
"Produsele prezentate pe site nu sunt diaponibile in magazin. Atmosfera din magazin e una dominata de dezordine, preturi lipsa...",421339,shop organization; environment,"Produsele prezentate pe site nu sunt diaponibile in magazin.;Atmosfera din magazin e una dominata de dezordine, preturi lipsa...",Negative; Negative,manual,"Produsele prezentate pe site nu sunt diaponibile in magazin. Atmosfera din magazin e una dominata de dezordine, preturi lipsa...",shop organization;environment
"Organizare rapida a produselor si mai multa vigilenta pe rafturi, multe produse erau descompletate, bineinteles sustrase.",421340,shop organization; security,"Organizare rapida a produselor;mai multa vigilenta pe rafturi, multe produse erau descompletate, bineinteles sustrase.",Negative; Negative,manual,"Organizare rapida a produselor si mai multa vigilenta pe rafturi, multe produse erau descompletate, bineinteles sustrase.",shop organization;security
"Timp foarte mare de asteptare la casa,Pretul de la raft nu a corespuns cu cel platit la casa!!!",421341,shop organization; service,Pretul de la raft nu a corespuns cu cel platit la casa;Timp foarte mare de asteptare la casa,Negative; Negative,manual,"Timp foarte mare de asteptare la casa,Pretul de la raft nu a corespuns cu cel platit la casa!!!",shop organization;service
