text,id,aspects_polarities,annotator,data_origin,text_cleaned,absa_input,absa_target,translated_Romanian_French,language,translated_French_Romanian,translated_French_Chinese,translated_Chinese_Romanian
"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.",431550,"{'choices': ['security - negative', 'shop organization - negative']}",22,manual,"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.","In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine. </s>",security is negative; shop organization is negative,"Le 12/06/2017, sur le bon fiscal 116, j'ai acheté « Artengo Outdor flut », code 1495835. Lorsque je suis arrivé à la maison, j'ai constaté que вместо de 3 fluttuazioni comme indiqué sur la boîte, il n'y en avait qu'un seul. Il ne me semble pas normal d'ouvrir toutes les boîtes pour vérifier si les produits sont vraiment emballés. Les responsables de la sécurité devraient faire leur travail plus efficacement.",Romanian,"La 12/06/2017, pe bonul fiscal 116, am cumpărat « Artengo Outdor flut », cod 1495835. Când am ajuns acasă, am constatat că în loc de 3 fluctuații așa cum era indicat pe cutie, exista doar unul singur. Nu mi se pare normal să deschid toate cutiile pentru a verifica dacă produsele sunt realmente ambalate. Responsabilii cu securitatea ar trebui să-și facă treaba mai eficient.",2017年6月12日，在收银台116，我购买了“Artengo Outdor flut”，代码1495835。当我到家后，我发现盒子上的标签显示有3个波动，但是实际上只有一个。对我来说，似乎不正常的是打开所有的盒子来检查产品是否真正被包装好。安全负责人应该更有效地做他们的工作。,"La data de 12 iunie 2017, la casa de marcat 116, am cumpărat „Artengo Outdor flut”, codul 1495835. Când am ajuns acasă, am descoperit că eticheta de pe cutie indica 3 fluctuații, dar de fapt erau doar una. Pentru mine, pare anormal să deschid toate cutiile pentru a verifica dacă produsul este ambalat corect. Responsabilul cu securitatea ar trebui să își facă treaba în mod mai eficient."
"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .",431553,"{'choices': ['shop organization - negative', 'staff availability - negative']}",22,manual,"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .","Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc . </s>",shop organization is negative; staff availability is negative,"Le magasin de Militari est très désorganisé, il manque des prix sur les produits (beaucoup même), il manque du personnel spécialisé dans certains rayons, il manque beaucoup de produits en stock (par rapport au site web), il y a peu de personnel aux caisses (vous n'avez pas besoin d'argent), etc, etc, etc.",Romanian,"Magazinul Militari este foarte dezorganizat, lipsesc prețurile pe produse (foarte multe chiar), lipsește personalul specializat în anumite sectoare, lipsește multă marfă din stoc (în comparație cu site-ul web), există puțin personal la case (nu aveți nevoie de bani), ș.a.m.d.",军事商店非常混乱，很多产品没有标价（甚至很多），某些区域缺乏专业人员，库存中有很多产品缺货（与网站相比），收银台人员很少（您不需要钱），等等，等等，等等。,"Magazinul militar este foarte dezorganizat, multe produse nu au prețuri (și multe altele), anumite zone lipsesc de personal calificat, există multe produse care lipsec în stoc (comparativ cu site-ul web), la casa de marcat sunt puțini angajați (nu ai nevoie de bani), și așa mai departe, și așa mai departe, și așa mai departe."
You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,431554,misc - neutral,22,manual,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced. </s>,misc is neutral,Vous n'avez pas l'option (ou elle n'est pas suffisamment visible) pour acheter quelque chose sur une entreprise - pour introduire les informations de l'entreprise dans laquelle la facture doit être émise.,Romanian,Nu aveți opțiunea (sau nu este suficient de vizibilă) pentru a cumpăra ceva de la o întreprindere - pentru a introduce informațiile întreprinderii în care trebuie emisă factura.,您没有选项（或者它不够可见）来购买企业的东西 - 来输入发票应该开出的公司信息。,Nu aveți opțiunea (sau nu este suficient de vizibilă) pentru a cumpăra lucruri ale companiei - pentru a introduce informațiile despre compania care ar trebui să emită factura.
"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc",431556,environment - negative,22,manual,"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc","Problema e aceeasi cu copii care se plimba pe biciclete,role, etc </s>",environment is negative,"Le problème est le même avec les enfants qui se promènent à bicyclette, en roller, etc.",Romanian,"Problema este aceeași și cu copiii care se plimbă cu bicicleta, pe role, etc.",问题与骑自行车、滑轮滑冰等的儿童相同,"Problema este aceeași cu cea a copiilor care merg cu bicicleta, patine cu rotile etc."
"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.",431557,"{'choices': ['delivery - negative', 'staff competency - negative']}",22,manual,"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.","Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc. </s>",delivery is negative; staff competency is negative,"Bonsoir, j'ai reçu cet e-mail de votre part et j'y ai réfléchi pendant plusieurs heures pour décider si je devais y répondre ou non. J'ai décidé de vous répondre dans l'idée que vous prendrez en compte mon avis. Le 24 avril 2016, j'ai fait des achats dans votre magasin situé rue Iuliu Maniu, où j'ai choisi une bande de course et un vélo. Un collègue de chez vous m'a recommandé la livraison du colis par coursier et m'a assuré qu'il arriverait au plus tard le 26 avril 2016, c'est-à-dire le mardi suivant. Je lui ai dit que c'était d'accord, mais je ne voudrais pas que cela arrive plus tard que le mardi car il s'agit d'un cadeau ; il m'a assuré que la livraison serait effectuée le mardi par l'entreprise de coursiers FAN. Je vous assure qu'à l'heure où j'écris cet e-mail, je n'ai même pas été contacté par le coursier pour me communiquer la date et l'heure de la livraison. J'espère que ce n'est pas la faute de vos employés, car je voudrais continuer à avoir une bonne opinion de votre entreprise. Aujourd'hui, j'ai appelé le service client du magasin pour demander ce qui se passait avec mon colis, et la personne m'a assuré qu'il était en possession du coursier. Je vous recommande vivement de changer de coursier pour éviter de perdre des clients pour cette raison, car j'en ai fait l'expérience personnellement dans d'autres cas, y compris à mon lieu de travail. J'espère que vous prendrez ce message en compte et ferez quelque chose. Merci.",Romanian,"Bună seara, am primit acest e-mail din partea dvs. și m-am gândit la el timp de câteva ore pentru a decide dacă trebuie să răspund sau nu. Am decis să vă răspund cu ideea că veți lua în considerare părerea mea. La data de 24 aprilie 2016, am făcut cumpărături din magazinul dvs. situat pe strada Iuliu Maniu, unde am ales o bandă de alergare și un bicicletă. Un coleg de la dvs. mi-a recomandat livrarea pachetului prin curier și mi-a asigurat că va sosi cel târziu pe 26 aprilie 2016, adică marți, ziua următoare. I-am spus că este de acord, dar nu aș vrea ca aceasta să sosească mai târziu de marți, deoarece este un cadou; mi-a asigurat că livrarea va fi efectuată marți de către compania de curieri FAN. Vă asigur că la ora la care scriu acest e-mail, nici măcar nu am fost contactat de curier pentru a-mi comunica data și ora livrării. Sper că nu este vina angajaților dvs., deoarece aș vrea să continui să am o părere bună despre compania dvs. Azi, am sunat la serviciul clienți al magazinului pentru a cere ce se întâmplă cu coletul meu, și persoana mi-a asigurat că se află în posesia curierului. Vă recomand să schimbați curierul pentru a evita pierderea clienților din această cauză, deoarece am avut experiența personală în alte cazuri, inclusiv la locul meu de muncă. Sper că veți lua acest mesaj în considerare și veți face ceva. Mulțumesc.",晚上好，我收到了您发来的这封电子邮件，并在几个小时内思考是否要回复。最终我决定回复，希望您能考虑我的意见。2016年4月24日，我在位于Iuliu Maniu街的您的商店购物，选了一辆赛车和一辆自行车。您的同事向我推荐通过快递公司进行货物配送，并保证货物将最晚在2016年4月26日（即下周二）到达。我告诉他这可以接受，但我不希望它比周二晚到，因为这是一个礼物；他保证由FAN快递公司负责的配送工作会在周二完成。写信时，我甚至没有被快递员联系过，以告知我货物的交付日期和时间。我希望这不是你们雇员的错，因为我仍然想对您的企业有一个好的印象。今天，我打电话给商店的客户服务，询问我的包裹的情况，对方告诉我它已经被快递公司收到了。我强烈建议您更换快递公司，以避免因为这个原因而失去顾客，因为我在其他情况下也经历过同样的问题，包括在工作场所。希望您能考虑这条消息，并采取行动。谢谢。,"Bună seara, am primit acest e-mail trimis de dvs. și am chibzuit câteva ore dacă să răspund sau nu. În final, am decis să răspund, sperând că veți lua în considerare opiniile mele. La data de 24 aprilie 2016, am făcut cumpărături la magazinul dvs. de pe strada Iuliu Maniu, alez un automobil și o bicicletă. Unul dintre colegii dvs. mi-a recomandat să optez pentru livrarea prin curier, garantând că marfa va sosi cel târziu în data de 26 aprilie 2016 (marți, săptămâna viitoare). I-am spus că este acceptabil, dar nu vreau să ajungă după marți, deoarece aceasta era un cadou; el a garantat că livrarea, efectuată de curierul FAN, va fi finalizată marți. La momentul scrierii acestui mesaj, nici măcar nu am fost contactat de curier pentru a-mi comunica data și ora livrării mărfii. Sper că nu este vina angajaților dvs., deoarece încă doresc să am o impresie bună despre compania dvs. Astăzi, am sunat la serviciul clienți al magazinului și am întrebat despre starea pachetului meu, iar persoana cu care am vorbit mi-a spus că a fost preluat de curier. Vă recomand în mod ferm să schimbați compania de curierat pentru a evita pierderea clienților din cauza acestei probleme, deoarece am experimentat aceleași probleme și în alte situații, inclusiv la locul de muncă. Sper că veți lua în considerare acest mesaj și veți acționa în consecință. Mulțumesc."
"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..",431558,"{'choices': ['service - negative', 'shop organization - negative', 'staff competency - negative', 'tech support - negative']}",22,manual,"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..","Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica.. </s>",service is negative; shop organization is negative; staff competency is negative; tech support is negative,"J'ai passé une commande en ligne pour un transat sur un site et à ce moment-là, celui-ci était en stock suffisant. La commande a été confirmée et j'aurais dû la retirer, ravi mais pas autant que mon fils qui l'aurait utilisé, le même jour dans ce magasin. C'est comme ça dans un monde meilleur. Plus tard, quelques heures après avoir passé ma commande, alors que j'étais en route pour récupérer le produit, j'ai été appelé par un représentant de Decathlon pour me communiquer que le stock était incorrect, qu'il ne diminue que lorsque le produit est vendu, que cela peut arriver à quiconque qui commande en ligne, que les ordinateurs n'ont pas d'âme et que ma commande allait être annulée. Mais il y a deux bonnes nouvelles : la première, c'est que je peux opter pour la livraison du transat dans l'une des semaines à venir et la deuxième, c'est que le printemps arrive et que je peux investir mon argent ailleurs (des boissons rafraîchissantes car il va faire chaud cet été). Merci pour la sérieux. PS : J'ai mis ce commentaire également sur le transat mais celui-ci, pauvre, n'a aucune faute (c'est en plastique) comme eux qui ne seront pas fautifs quand ils ne me publieront pas...",Romanian,"Am plasat o comandă online pentru un fotoliu pe un site și, în acel moment, era în stoc suficient. Comanda a fost confirmată și ar fi trebuit să o ridic, bucuros dar nu la fel de mult ca fiul meu, care ar fi folosit-o în aceeași zi în acel magazin. Așa este într-o lume mai bună. Mai târziu, câteva ore după ce am plasat comanda, în timp ce eram pe drum pentru a prelua produsul, am fost sunat de un reprezentant Decathlon care mi-a comunicat că stocul era incorect, că scade doar atunci când produsul este vândut, că asta se poate întâmpla oricui comandă online, că calculatoarele nu au suflet și că comanda mea urma să fie anulată. Dar există două vești bune: prima, pot opta pentru livrarea fotoliului în una din săptămânile următoare și a doua, primăvara sosește și pot investi banii altundeva (băuturi răcoritoare, deoarece va fi cald vara aceasta). Mulțumesc pentru seriozitate. PS: Am postat acest comentariu și pe fotoliu, dar el, sărmanul, nu are nicio vină (este din plastic), la fel ca și ei care nu vor fi vinovați atunci când nu mă vor publica...",我在线上某网站下单购买了一张沙发床，当时显示有足够的库存。订单已经确认，我本应很高兴地去取货，我的儿子会使用它，他会比我更高兴，因为他当天就可以在商店里用到它。在一个理想的世界里，这就是应该发生的事情。但是，在我下单几小时后，当我正在前往取货的路上时，我接到了Decathlon的一位代表的电话，他们告知我库存数量有误，产品只有在卖出的时候才会减少，任何人在线上下单都可能遇到这种情况，电脑没有灵魂，我的订单将被取消。但是，有两个好消息：第一，我可以选择在接下来的一周内将沙发床送到家；第二，春天即将来临，我可以把钱投资到其他地方（比如清凉饮料，因为今年夏天会很热）。感谢你们的专业精神。附言：我也在沙发床的评论区留下了这段话，不过那张 бед的沙发床并没有任何问题（它是塑料做的），就像那些不会因为不发布我的评论而感到内疚的人一样。,"Am plasat o comandă online pe un anumit site pentru a cumpăra un pat-canapea, și atunci era afișată stocul suficient. Comanda a fost confirmată, așa că ar fi trebuit să merg cu bucurie să îl ridic, iar fiul meu urma să îl folosească, el va fi mult mai fericit decât mine, deoarece el putea să îl folosească în aceeași zi în magazin. Într-o lume ideală, asta ar fi trebuit să se întâmple. Dar, la câteva ore după ce am plasat comanda, pe drumul spre ridicarea lui, am primit un apel de la un reprezentant Decathlon, care mi-a spus că stocul a fost greșit, produsul scade doar atunci când este vândut, oricine poate întâlni această situație atunci când face o comandă online, computerul nu are suflet, și comanda mea urma să fie anulată. Dar, existau două vești bune: prima, pot alege să primesc patul-canapea acasă în următoarea săptămână; a doua, primăvara este pe cale să vină, și pot investi banii în altceva (de exemplu, băuturi răcoritoare, pentru că această vară va fi fierbinte). Mulțumesc pentru profesionalismul dvs. Notă: am lăsat și acest comentariu în secțiunea de recenzii a patului-canapea, dar acel sărman pat-canapea nu are nicio problemă (este făcut din plastic), la fel ca și oamenii care nu se simt vinovați pentru că nu publică comentariile mele."
"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd",431561,"{'choices': ['staff availability - negative', 'shop diversity - negative']}",22,manual,"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd","Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd </s>",staff availability is negative; shop diversity is negative,"Je recommande du personnel disponible dans chaque rayon, je n'ai pas trouvé ça ok de tourner dans tout le magasin pour trouver un chapeau de soleil qui en fait n'existait même pas...étant donné que la saison estivale commence à peine, je vous demande de varier les produits pour la plage, le soleil etc.",Romanian,"Recomand personal disponibil în fiecare raion, nu am considerat ok să călătoresc prin tot magazinul pentru a găsi o pălărie de soare care, de fapt, nici măcar nu exista... având în vedere că sezonul estival abia începe, vă cer să variați produsele pentru plajă, soare etc.",我建议在每个区域都有可用的员工，我觉得在整个商店里找太阳帽却发现它不存在是不好的……考虑到夏季才刚开始，我请求你们多样化一些与海滩、太阳相关的产品。,"Vă sugerez să aveți angajați disponibili în fiecare zonă, consider că este nefiresc ca clienții să caute pălării de soare în toată librăria și să nu le găsească... ținând cont că vara abia a început, vă rog să diversificați produsele legate de plajă și soare."
"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.",431563,"{'choices': ['staff availability - negative', 'shop organization - negative']}",22,manual,"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.","Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete. </s>",staff availability is negative; shop organization is negative,"Manque de produits sur les étagères conformément à l'étiquette, manque de personnel pour conseiller les bicyclettes",Romanian,"Lipsa de produse pe rafturi în conformitate cu eticheta, lipsa de personal pentru a consilia bicicletele",货架上的产品没有按照标签摆放，咨询自行车也缺乏人员,"Produsele de pe rafturile magazineului nu au fost așezate conform etichetelor, iar consultații cu biciclistul sunt lipsite de personal"
"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.",431567,"{'choices': ['environment - negative', 'staff competency - negative']}",22,manual,"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.","Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam. </s>",environment is negative; staff competency is negative,"Malheureusement, nous avons été déçus par le chaos dans le magasin. Il y avait des enfants avec des bicyclettes, des trottinettes et tout genre de produits similaires, que vous deviez éviter vous-même parce que sinon ils vous marchaient sur les pieds. Les parents n'étaient absolument pas présents. Sur les rayons, le personnel ne faisait plus face pour remettre en place les produits que les enfants avaient jetés par terre, défaits. Dans certaines zones, il était difficile de trouver un produit intact afin de voir ce que nous voulions acheter.",Romanian,"Din nefericire, am fost dezamagiți de haosul din magazin. Erau copii cu biciclete, trotinete și tot felul de produse similare, pe care trebuia să le ocoliți singuri, pentru că altfel vă călcau pe picioare. Părinții erau absolut absenți. Pe rafturi, personalul nu mai făcea față pentru a repune la loc produsele aruncate pe jos de copii, desfăcute. În unele zone, era greu să găsiți un produs intact pentru a vedea ce doream să cumpărăm.",不幸的是，我们被商店里的混乱弄得失望了。那里有带着自行车、滑板和各种类似产品的孩子，你必须自己避开他们，否则他们会踩到你的脚。父母完全不在场。货架上，员工不再补货，因为商品都被孩子们丢在地上，解开了包装。在某些区域，很难找到完整的商品来查看我们想要购买什么。,"Din nefericire, am fost dezamăgiți de haosul din magazin. Acolo erau copii cu biciclete, skate-uri și diverse produse similare, pe care trebuia să le ocoliți singuri, altfel v-ar fi călcat pe picioare. Părinții erau complet absenți. Pe rafturi, angajații nu mai reîmprospătau stocul, deoarece produsele erau aruncate pe jos de copii și ambalajele erau desfăcute. În unele zone, era greu să găsiți produse intacte pentru a vedea ce dorim să cumpărăm."
Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,431571,"{'choices': ['staff availability - negative', 'staff competency - negative']}",22,manual,Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic </s>,staff availability is negative; staff competency is negative,"Je reste à la maison pour que les employés extérieurs ne viennent pas fumer. Deux employés sont venus pour encaisser, mais ils se disputaient là-bas. Ils ont jeté les produits et sont sortis du magasin. Cela m'a affecté psychiquement",Romanian,"Rămân acasă pentru ca angajații externi să nu vină să fumeze. Două angajați au venit să încaseze, dar se certau acolo. Au aruncat produsele și au ieșit din magazin. M-a afectat psihic",我呆在家里是因为外面的员工不来抽烟。两名员工过来收银，但是他们在那里争论。他们扔了产品并离开了商店。这对我的心理产生了影响,"M-am oprit acasă pentru că angajații de afară nu au venit să fumeze. Doi angajați au venit la casă, dar s-au certat acolo. Au aruncat produsele și au părăsit magazinul. Acest lucru m-a afectat psihic"
