id,text_cleaned,all_categories,data_origin
431550,"Pe 12/06/2017 voucher fiscal 116, am cumpărat ""Fluturele Artengo Outdor"", cod 1495835 și când am ajuns acasă am descoperit că în loc de 3 fluturi așa cum arată pe cutie, era doar unul. Nu pare normal să vii și să deschizi toate cutii pentru a verifica dacă produsele sunt într-adevăr în ambalaj. Cei de la securitate ar trebui să-și facă treaba mai bine.",security; shop organization,bt_1chain
431553,"Magazinul militar foarte dezordonat, lipsa prețurilor produselor (chiar foarte multe), lipsa personalului specializat în unele zone, lipsa multor produse în stoc (în comparație cu site-ul web), personalul mic la casiere (nu aveți nevoie de bani), etc, etc, etc.",shop organization; staff availability,bt_1chain
431554,Nu ai posibilitatea (sau nu este suficient de vizibil) de a cumpăra ceva de la o companie - să introduceţi informaţiile cpmapny în care factura să fie facturată.,misc,bt_1chain
431556,"Problema e aceeaşi cu copiii care merg pe biciclete, patine etc.",environment,bt_1chain
431557,"Bună seara, am primit acest e-mail de la tine și am petrecut câteva ore gândindu-mă dacă să-ți răspund sau nu. Am decis să-ți răspund în ideea că vei lua în considerare opinia mea.La 24.04.2016 am făcut cumpărături în magazinul din Iuliu Maniu unde am ales o bandă de alergare și o bicicletă. Un coleg de-al tău mi-a recomandat să livrez pachetul prin curier și că va ajunge în 48 de ore maximum, adică marți 26.04.2016. I-am spus că este în regulă, dar nu aș vrea să ajungă mai târziu de marți, deoarece este un cadou, el m-a asigurat că va fi livrat de compania de curieri marți. Vă asigur că până în acest moment scri eu e-mailul dvs. nu am fost nici măcar sunat de curier pentru a-l im",delivery; staff competency,bt_1chain
431558,"Am comandat-o online de la un magazin de alimente sanatoase si la acel moment aceasta cifra a aratat suficient stoc. A fost confirmata si ar fi trebuit sa o iau, rece dar fericita - este adevarat, nu la fel de fericita ca fiul meu care ar fi folosit-o - in aceeasi zi de la acest magazin. Asta e intr-o lume mai buna. Mai tarziu - la cateva ore dupa comandare - cand eram pe drum sa iau produsul, am fost sunat de un reprezentant Decathlon sa ma informeze ca stocul era gresit, ca nu se termina pana nu se vinde produsul, ca asta se poate intampla oricui care comanda online, ca calculatoarele nu au suflet si ca comanda mea va fi anulata, dar ca exista doua vesti bune: una ca pot avea opt pentru livrarea alimentelor sanatoase in saptamana urmatoare si a doua",service; shop organization; staff competency; tech support,bt_1chain
431561,"Vă recomand personal disponibil la fiecare departament, nu mi s-a părut corect să merg prin magazin să găsesc o pălărie de soare care nici măcar nu există... având în vedere că sezonul de vară abia începe vă rugăm să variaţi produsele pentru plajă, soare samd",staff availability; shop diversity,bt_1chain
431563,"Lipsa de produse pe raft, conform etichetei, lipsa de personal de consiliere pentru biciclete.",staff availability; shop organization,bt_1chain
431567,"Din păcate, am fost dezamăgiți de haosul din magazin. Erau copii cu biciclete, scutere și tot felul de alte produse pe care trebuia să le eviți pentru că altfel îți veneau în picioare. Părinții nu erau deloc prezenți. Personalul de pe raft nu îndrăznea să pună înapoi produsele pe care copiii le aruncaseră pe podea, dezpachetate. În unele zone, era dificil să găsești un produs intact, astfel încât să putem vedea ce vrem să cumpărăm.",environment; staff competency,bt_1chain
431571,"Am stat mult acasă să vină un angajat de afară să fumeze. a venit doi angajați la numerar, dar ei se uitau acolo. aruncat produsele și a părăsit magazinul. m-au făcut psihic",staff availability; staff competency,bt_1chain
431574,"Găseşte o cale să faci bani în weekend, dă clienţilor ceva de mâncare cât aşteaptă să plătească.",misc,bt_1chain
431575,"Probabil că am fost dezamăgit că nu am găsit niciun număr potrivit pe produsele pe care le-am încercat, şi că era destul de mult zgomot făcut de copii care alergau şi se jucau prin magazin fără să fie observaţi.",environment; shop diversity,bt_1chain
431577,"Sunt sub toată critica.Am cumpărat o bicicletă plată și când am fost montat am fost surprins că o pedală nu a intrat în puntea până la jumătatea drumului și apoi a rămas blocat.Am sunat la serviciile de atelier.Am vorbit cu nu știu cine la început mi-a recomandat să aducă bicicleta la ei.Am răspuns că cântărește 25 kg și nu o pot aduce, fiind în garanție nu sunt dispus să cheltui mai mult.Răspunsul? nu trebuie să facă că nu au un serviciu de reparații acasă.",product; service; staff competency,bt_1chain
431579,"Aş vrea să ştiu dacă există un sistem de răscumpărare pentru bicicletele pentru copii mici, pentru că fetiţa mea ar fi vrut o bicicletă nouă în loc de cea pe care a ""moştenit-o"" de la sora ei mai mare.",misc,bt_1chain
