absa_input,absa_target,data_origin
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine. </s>",security is negative; shop organization is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Folosesc acest tip de minge ocazional.Se sparg repede, deoarece camera e cu petice... ,cum am constatat la 2 mingii pe care le-am desfacut.Au fost foarte bune primele modele, rezistau 1-2 ani la utilizare ocazionalaPretul e mic dar calitatea e îndoielnică </s>",price is positive; product is positive; quality is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Avem rugamintea,ca produsele pe care dorim sa le cumparam de la dvs.,in stoc sa existe toate marimile. </s>",shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc . </s>",shop organization is negative; staff availability is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced. </s>,misc is neutral,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: am cumparat de doua ori in acea zi, platind de doua ori. prima data am cumparat de 600 lei, si nimeni nu m-a intrebat de card, iar eu am uitat. ar trebui sa intrebe. produse fara cod de bare care necesita timp in plus pentru a fi identificate </s>",staff competency is negative; shop organization is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Problema e aceeasi cu copii care se plimba pe biciclete,role, etc </s>",environment is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc. </s>",delivery is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica.. </s>",service is negative; shop organization is negative; staff competency is negative; tech support is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: nu sunt cabine de proba jos, in conditiile in care sunt articole care trebuie probate. Am urcat cu vreo 5 bustiere la cabinele de proba, nici una nu a fost buna; trebuia sa eliberez cabina, sa cobor, sa iau altele, sa urc la cabina, sa stau la coada iarasi...asa ca am renuntat, nu am mai cumparat nimic si am plecat foarte dezamagita. </s>",shop organization is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: in moment in care strang siretul, in loc sa imi tina strans, materialul se lasa.un pic cam lat pentru patine artistice. </s>",product is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd </s>",staff availability is negative; shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am cumparat o bicicleta pliabila, sunt nemultumit deoarece nu este posibil sa cumperi o bicicleta la """"cutie"""", am fost nevoit sa cumpar una pe care au incercato si au calarito poate sute de cumparatori, ar trebui sa aveti una sau doua pt. mostra si incercari, iar clientul sa primeasca una """"sigilata"""". </s>",shop organization is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete. </s>",staff availability is negative; shop organization is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu sunt produse diversificata pentru bărbați la îmbrăcăminte sport. Pentru copii si femei aveți mult mai multe produse. De ex: set trening Domyos pentru femei si copii aveți pe mai multe nuanțe, pentru bărbați nu aveți deloc set trening. La multe produse preturile nu sunt afișate deși se învârt o droaie de angajați prin magazin. </s>",shop diversity is negative; shop organization is negative; staff competency is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Diversitate a produselor scazuta in magazinul Sibiu comparativ cu alte magazine Decathlon din tara. </s>,shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: -majoritatea pantofilor/adidasilor pentru copii (cele folosite la scoala, de ex) sunt din inlocuitor de piele si au o calitate indoielnica.-magazinul este alambicat, nu sunt toate produsele de același fel, in acelasi loc. te plimbi pana te plictisesti sa </s>",shop organization is negative; quality is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam. </s>",environment is negative; staff competency is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Montarea schimbătorului a fost făcută de o persoana care nu a fost pregătită necesar. </s>,staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Produsul se manevreaza usor, dar are o usoara vibratie in maner.datorita fixarii rapide.Pliabila si usor de transportat. </s>",product is positive,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am vrut sa achizitionez trotineta , dupa ce am citit pe site la descriere ca se poate folosi de copii ce au inaltime intre 1.45 si 1.85 m. Cand am sunat la magazinul sa o rezer, am mai intrebat inca o data daca se respecta caracteristicile de pe site, au spus ca da.Ajugand la magazin am constata cu stupoare ca aveau alte caracteristici , acest tip de trotineta merege folosita de copii ce au pana in 1.45 m.Imi pare rau sa constat ca ce este scris pe site nu coincide cu ce este in magazin. </s>",shop organization is negative; staff competency is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic </s>,staff availability is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Doua produse identice marimea L cumparate pe data de 12-10-2017.Imposibil de imbracat datorita unui defect de fabricatie, respectiv circumferinta la guler este de 46 cm. si nu este elastic. </s>",product is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din Pret transpiri la fel ! </s>",product is negative; price is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească. </s>,misc is neutral,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati </s>",environment is negative; shop diversity is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei. </s>,price is negative; shop organization is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Sunt sub orice critica.Am achizitionat o bicicleta de apartament iar la montare am avut surpriza ca o pedala sa nu se insurubeze in ax decat la jumatate dupa care sa se blocheze.Am apelat la serviciile atelierului.Am vorbit nu stiu cu cine care la inceput mia recomandat sa aduc bicicleta la ei. I-am replicat ca are 25 kg si nu pot sa o aduc, fiind in garantie nu sunjt dispus la alta cheltuiala.Raspunsul ? nu are ca sa faca ca nu au serviciu de reparatii acasa.(daca era o banda de alergat tot clientul trebuia sa se ocupe de transport, sa o lege cu sfoara si sa o traga pana la magazin ?).A trebuit sa amenint cu reclamatia mai departe ca sa vina cu propunerea sa trimita ei un curier care sa ridice bicicleta.Asta se intampla acum opt zile. Sa mai sper ca vor rezolva problema? cred ca sunt depasiti, asa ca am sa merg la OPC sa vad ce spun ei, iar intre timp am sa incerc cu forte proprii sa rezolv problema.Feriti-va de Dechatlon </s>",product is negative; service is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am fost cu ea la reglat de 3 ori și schimbătorul nu tine mai mult de o săptămâna și se dereglează, lanțul huruie </s>",product is negative; quality is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare. </s>",misc is neutral,manual
