id,text_cleaned,all_categories,all_polarities,text_bt_RoEnRo,text_bt_RoEnChRo
431550,"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.",security; shop organization,Negative; Negative,"Pe 12/06/2017 voucher fiscal 116, am cumpărat ""Fluturele Artengo Outdor"", cod 1495835 și când am ajuns acasă am descoperit că în loc de 3 fluturi așa cum arată pe cutie, era doar unul. Nu pare normal să vii și să deschizi toate cutii pentru a verifica dacă produsele sunt într-adevăr în ambalaj. Cei de la securitate ar trebui să-și facă treaba mai bine.","Pe 12 iunie 2017, am cumpărat ""Fluturele Artengo Outdor"", codul este 1495835 și am ajuns acasă și am descoperit că în cutie erau doar trei fluturi, nu unul."
431553,"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .",shop organization; staff availability,Negative; Negative,"Magazinul militar foarte dezordonat, lipsa prețurilor produselor (chiar foarte multe), lipsa personalului specializat în unele zone, lipsa multor produse în stoc (în comparație cu site-ul web), personalul mic la casiere (nu aveți nevoie de bani), etc, etc, etc.","În general, magazinele militare sunt dezordonate, prețurile sunt mici (sau chiar foarte mari), în unele zone există un deficit de profesioniști, stocurile sunt reduse (în comparație cu site-ul), la casieră nu sunt mulți oameni (nu ai nevoie de bani), etc."
431554,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,misc,Neutral,Nu ai posibilitatea (sau nu este suficient de vizibil) de a cumpăra ceva de la o companie - să introduceţi informaţiile cpmapny în care factura să fie facturată.,"Nu aveți opțiunea (sau nu este suficient de evident) de a cumpăra ceva de la o anumită companie - introduceți informațiile cpmapny, în care trebuie să facturați factura."
431556,"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc",environment,Negative,"Problema e aceeaşi cu copiii care merg pe biciclete, patine etc.","Aceeași problemă se întâlnește și cu copiii care merg pe bicicletă, skateboard și așa mai departe."
431557,"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.",delivery; staff competency,Negative; Negative,"Bună seara, am primit acest e-mail de la tine și am petrecut câteva ore gândindu-mă dacă să-ți răspund sau nu. Am decis să-ți răspund în ideea că vei lua în considerare opinia mea.La 24.04.2016 am făcut cumpărături în magazinul din Iuliu Maniu unde am ales o bandă de alergare și o bicicletă. Un coleg de-al tău mi-a recomandat să livrez pachetul prin curier și că va ajunge în 48 de ore maximum, adică marți 26.04.2016. I-am spus că este în regulă, dar nu aș vrea să ajungă mai târziu de marți, deoarece este un cadou, el m-a asigurat că va fi livrat de compania de curieri marți. Vă asigur că până în acest moment scri eu e-mailul dvs. nu am fost nici măcar sunat de curier pentru a-l im","Bună seara, am primit e-mailul tău și am petrecut câteva ore gândindu-mă dacă să-ți răspund sau nu. M-am hotărât să-ți răspund la gândurile tale și vei lua în considerare opinia mea. La 24.04.2016 făceam cumpărături la magazinul lui Iuliu Maniu și am ales un trasaur și o bicicletă. Unul dintre colegii tăi mi-a sugerat să trimit pachetul prin curier, care va ajunge în 48 de ore, adică marți, 26 aprilie 2016. I-am spus că este în regulă, dar nu vreau să ajungă mai târziu de marți, pentru că este un cadou, mi-a promis că va fi livrat marți prin curier."
431558,"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..",service; shop organization; staff competency; tech support,Negative; Negative; Negative; Negative,"Am comandat-o online de la un magazin de alimente sanatoase si la acel moment aceasta cifra a aratat suficient stoc. A fost confirmata si ar fi trebuit sa o iau, rece dar fericita - este adevarat, nu la fel de fericita ca fiul meu care ar fi folosit-o - in aceeasi zi de la acest magazin. Asta e intr-o lume mai buna. Mai tarziu - la cateva ore dupa comandare - cand eram pe drum sa iau produsul, am fost sunat de un reprezentant Decathlon sa ma informeze ca stocul era gresit, ca nu se termina pana nu se vinde produsul, ca asta se poate intampla oricui care comanda online, ca calculatoarele nu au suflet si ca comanda mea va fi anulata, dar ca exista doua vesti bune: una ca pot avea opt pentru livrarea alimentelor sanatoase in saptamana urmatoare si a doua","Am comandat online de la un magazin de alimente sănătoase, iar la acel moment numărul arăta că aveam suficient stoc. A fost confirmat că ar trebui să-l iau din magazin în aceeași zi, răcit, dar fericit - și asta e adevărat, nu ca fiul meu, care era fericit să-l folosească."
431561,"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd",staff availability; shop diversity,Negative; Negative,"Vă recomand personal disponibil la fiecare departament, nu mi s-a părut corect să merg prin magazin să găsesc o pălărie de soare care nici măcar nu există... având în vedere că sezonul de vară abia începe vă rugăm să variaţi produsele pentru plajă, soare samd","Am recomandat departamentelor să ofere personal, ceea ce nu mi se părea corect, să meargă prin magazine pentru o pălărie care nu există..."
431563,"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.",staff availability; shop organization,Negative; Negative,"Lipsa de produse pe raft, conform etichetei, lipsa de personal de consiliere pentru biciclete.","De asemenea, există o lipsă de produse conforme cu etichetele, o lipsă de consultanți pentru biciclete."
431567,"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.",environment; staff competency,Negative; Negative,"Din păcate, am fost dezamăgiți de haosul din magazin. Erau copii cu biciclete, scutere și tot felul de alte produse pe care trebuia să le eviți pentru că altfel îți veneau în picioare. Părinții nu erau deloc prezenți. Personalul de pe raft nu îndrăznea să pună înapoi produsele pe care copiii le aruncaseră pe podea, dezpachetate. În unele zone, era dificil să găsești un produs intact, astfel încât să putem vedea ce vrem să cumpărăm.","Din păcate, haosul din magazine ne-a dezamăgit. Copiii cu biciclete, patine și alte produse de tot felul trebuie evitate, altfel ajung la picioarele tale. Părinții nu sunt deloc prezenți."
431571,Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,staff availability; staff competency,Negative; Negative,"Am stat mult acasă să vină un angajat de afară să fumeze. a venit doi angajați la numerar, dar ei se uitau acolo. aruncat produsele și a părăsit magazinul. m-au făcut psihic","Am stat mult timp acasă pentru a fuma de la un angajat din afara. au venit doi angajati la numerar, dar au stat acolo. a aruncat produsul și a plecat de la magazin."
