text,id,aspects_polarities,annotator,all_categories,all_categories_old,all_polarities,data_origin,text_cleaned,cmlm_text
"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.",431550,"{'choices': ['security - negative', 'shop organization - negative']}",22,security; shop organization,security; shop organization,Negative; Negative,manual,"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.",". in data de 12 / 06 / 2017 bon fiscal 116, am primit,, artengo outdor cheat,, cod 14958, iar cand am ajuns acasa am vazut ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur. nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifiat daca produsele se afla intru adevar in stoc. cei de la emag ar trebui sa - si faca treaba mai bine."
"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .",431553,"{'choices': ['shop organization - negative', 'staff availability - negative']}",22,shop organization; staff availability,shop organization; staff availability,Negative; Negative,manual,"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .",". magazinul din pacate foarte dezordonat, lipsa poze la raft ( foarte multe chiar ), lipsa personal de specialitate pe unele zone, lipsa foarte multe produse de pe site ( in raport cu website - ul ), personal puțin la fel de amabil ( nu aveți nevoie de bani ), etc, etc, etc."
You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,431554,misc - neutral,22,misc,misc,Neutral,manual,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,. you do not have the option ( or it's not vised enough ) to buy some iteming on a company - to introduce the cpy listy data in which the right to be mentioyd.
"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc",431556,environment - negative,22,environment,environment,Negative,manual,"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc",". problema e aceeasi cu cei care se plimba pe role, role, etc"
"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.",431557,"{'choices': ['delivery - negative', 'staff competency - negative']}",22,delivery; staff competency,delivery; staff competency,Negative; Negative,manual,"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.",". buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandest daca sa va raspund sau nu. am decis sa va scriu in idea ca veti lua in sema oferta mea. in data de 24. 04. 2016 am fostt in sediul din iuliu maniu la care am primit o banda de alergare si o minge. un curier de la dumneavoastra mia trimis livrat coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26. 04. 2016. mentionez ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou, el ma anunta ca marti va fi trimis prin curier de catre fan. va asigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de cineva sa imi transmita in ce zi si la ce ora se face plata. sper sa nu fie din greseaa dumneavoastra pentru a ramane cu o surpriza in plus. azi am fost la biroul de lucru cu clienti din cluj sa intreb ce se intampla cu ea iar persoana ma anunta ca este in posesia mea. va recomand pentru a nu pierde clienti din acest motiv sa schimbati acest curier care din din experienta personala si in alte cazuri am avut de suferit. inclusesc si la locul meu de munca la care activez. sper sa luati acest m, esaj in serios si sa faceti ceva. va multumesc."
"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..",431558,"{'choices': ['service - negative', 'shop organization - negative', 'staff competency - negative', 'tech support - negative']}",22,service; shop organization; staff competency; tech support,service; shop organization; staff competency; tech support,Negative; Negative; Negative; Negative,manual,"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..",". am facut o comanda online la o firma si la timpul respectiv aceasta figura cu un discou produs. aceasta a fost facuta si eu ar fi putut sa o cumpar, infrigurat dar mi - e drept, nu asa de fericit ca sotul meu care ar fi folosit - o -, in aceeasi zi de la acest magazin. asta intr - o zi mai buna. ulterior - la cateva ore de la comanda -, chiar cand eram pe cale sa platesc, am fost sunat de un agent decathlon ca sa mi se comunice ca stocul era gol, ca nu se scade pretul atunci cand se vinde online, ca asta se poate aplica oricui care comanda online, ca nici calculatoarele n - au erori si ca mi se va returna dar ca sunt si doua vesti bune : una ca pot opta pentru livrarea lor intr - una din saptamanile astea si a doua ca vine vara si ca pot investi banii in altceva ( apa racoritoare ca va fi o vara calduroasa ). multumesc pentru seriozitate ps : am trimis acest mesaj si la mama dar ea, sarac ea, nu are nici o sansa ( ca - i de plastic ) cum nici ei nu vor avea cand nu mi - l vor publica.."
"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd",431561,"{'choices': ['staff availability - negative', 'shop diversity - negative']}",22,staff availability; shop diversity,staff availability; shop diversity,Negative; Negative,manual,"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd",". recomand personal disponibil la fiecare raion, nu mi s - a parut ok sa ma duc in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista... avand in vedere ca sezonul estival e de abia la inceput va rog sa variati oferta pt mine, pret."
"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.",431563,"{'choices': ['staff availability - negative', 'shop organization - negative']}",22,staff availability; shop organization,staff availability; shop organization,Negative; Negative,manual,"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.",". lipsa produse la raft conform etichetei, lipsa personal consiliere etc."
"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.",431567,"{'choices': ['environment - negative', 'staff competency - negative']}",22,environment; staff competency,environment; staff competency,Negative; Negative,manual,"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.",". din start am fost uimit de haosul din magazin. erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii eviti tu pentru ca altfel iti calca in picioare. parintii nu erau deloc atenti. la fel, personalul nu mai facea fata sa puna la loc produsele pe care ei le aruncaseru pe jos, desfacute. in anumite cazuri, a fost greu sa gasim un produsn astfel incat sa stim ce vrem sa facem."
Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,431571,"{'choices': ['staff availability - negative', 'staff competency - negative']}",22,staff availability; staff competency,staff availability; staff competency,Negative; Negative,manual,Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,. stat la casa mult sa vina un angajat de afara de la fumat. venit doi angajati la incasat insa se bloca p acolo. aruncat banii si tot din magazin. m au lovit la psihic
