text,id,aspects_polarities,annotator,data_origin,text_cleaned,absa_input,absa_target,text_rephrased,new_label
"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.",431550,"{'choices': ['security - negative', 'shop organization - negative']}",22,manual,"In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In data de 12/06/2017 bon fiscal 116, am achizitionat ,,Artengo Outdor flut ,,cod 1495835 iar cand am ajuns acasa am constatat ca in loc de 3 fluturasi cat arata pe cutie era doar unul singur.Nu mi se pare normal sa vin si sa deschid toate cutiile pt a verifica daca produsele se afla intradevar in ambalaj .Cei de la paza ar trebuii sa-si faca treaba mai bine. </s>",security is negative; shop organization is negative,"La data de 12/06/2017, am cumparat un produs Artengo Outdor flut cu codul 1495835, dar dupa ce am deschis cutia acasa, am gasit doar un singur fluturas, in loc de trei cum era afisat. Ma nemultumesc ca trebuie sa verific toate produsele inainte de a le cumpara pentru a ma asigura ca sunt complete. Personalul de la paza ar trebui sa fie mai atent cu inventarul.",security is negative; shop organization is negative
"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .",431553,"{'choices': ['shop organization - negative', 'staff availability - negative']}",22,manual,"Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc .","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Magazinul din militari foarte dezordonat , lipsa prețuri la produse ( foarte multe chiar ) , lipsa personal de specialitate pe unele raioane, lipsa foarte multe produse de pe stoc ( in comparație cu website-ul) , personal puțin la casele de marcat ( nu aveți nevoie de bani ) , etc , etc , etc . </s>",shop organization is negative; staff availability is negative,"Magazinul din Militari prezintă o serie de probleme, inclusiv lipsa de organizare, prețurile nefiind afișate pentru multe produse, personalul insuficient calificat în anumite zone și o gamă limitată de produse disponibile comparativ cu site-ul oficial. De asemenea, cozile la casele de marcat sunt lungi din cauza personalului puțin numeros.",shop organization is negative; staff availability is negative
You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,431554,misc - neutral,22,manual,You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: You do not have the option (or it's not visbile enough) to buy somehting on a company - to introduce the cpmapny info in which the invoice to be invoiced. </s>,misc is neutral,"Nu există opțiunea (sau nu este suficient de vizibilă) de a cumpăra ceva pentru o companie, astfel încât să poți introduce informațiile companiei pe care urmează să fie emisă factura.",misc is neutral
"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc",431556,environment - negative,22,manual,"Problema e aceeasi cu copii care se plimba pe biciclete,role, etc","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Problema e aceeasi cu copii care se plimba pe biciclete,role, etc </s>",environment is negative,"Încă există problema cu copiii care circulă pe biciclete și altele asemenea, ceea ce afectează mediul înconjurător.",environment is negative
"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.",431557,"{'choices': ['delivery - negative', 'staff competency - negative']}",22,manual,"Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna seara, am primit acest mail de la dumneavostra si am stat cateva ore sa ma gandesc daca sa va raspund sau nu. Am decis sa va raspund in idea ca veti lua in sema parerea mea.in data de 24.04.2016 am facut cumparaturi in magazinul din Iuliu Maniu la care am ales o banda de alergare si o bicicleta. Un coleg de la dumneavoastra mia recomandat livrea coletului prin curier si ca va ajunge in maxim 48 ore adica marti 26.04.2016. Iam transmis ca este ok dar nu as dori sa ajunga mai tarziu de marti pentru ca este un cadou , el ma asigurat ca marti va fi livrat prin firma de curierat FAN. Va sigur ca pana la acesta ora la care va scriu mailul nici macar nu am fost sunat de curier sa imi transmita in ce zi si la ce ora se face livrarea. Ser sa nu fie din vina angajatilor dumneavoastra pentru a ramane cu o parere buna in continuare.Azi am sunat la numarul de relatii cu clienti din magazin sa intreb ce se intampla cu coletul iar persoan ma asigurat ca este in posesia curierului.VA RECOMAND PENTRU A NU PIERDE CLIENTI DIN ACEST MOTIV SA SCHIMBATI ACEST CURIER CARE DIN PROPRIA EXPERIENTA PERSONALA SI IN ALTE CAZURI AM AVUT DE SUFERIT. Inclusiv si la locul meu de munca la care activez.Sper sa luati acest m,esaj in seama si sa faceti ceva.Va multumesc. </s>",delivery is negative; staff competency is negative,"Buna seara, am primit un email de la dumneavoastra si am asteptat cateva ore pentru a ma hotari daca sa raspund sau nu. Am decis sa va contactez in speranta ca veti tine cont de parerea mea. La data de 24.04.2016, am facut o cumparatura online la magazinul din Iuliu Maniu si am ales o banda de alergare si o bicicleta. Unul dintre angajatii dumneavoastra mi-a recomandat livrarea prin curier, asigurandu-ma ca va ajunge in cel mult 48 de ore, adica marti, 26.04.2016. I-am confirmat ca este ok, dar am mentionat ca nu doresc sa intarzie mai tarziu de marti pentru ca este un cadou. El mi-a garantat ca va fi livrat marti prin curierul FAN. Pana la aceasta ora, nici macar nu am primit un apel din partea curierului pentru a ma informa despre data si ora livrarii. Sper ca nu este vina angajatilor dumneavoastra pentru a putea pastra o parere buna despre companie. Azi am sunat la departamentul de relatii cu clientii sa aflu ce se intampla cu coletul meu, iar persoana de acolo mi-a spus ca este in posesia curierului. Va recomand insistent sa schimbati acest curier, din experienta mea personala si din alte situatii in care am avut de suferit. Chiar si la locul meu de munca am intampinat probleme cu aceasta firma de curierat. Sper ca veti lua in considerare acest mesaj si veti face schimbarile necesare. Va multumesc.",delivery is negative; staff competency is negative
"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..",431558,"{'choices': ['service - negative', 'shop organization - negative', 'staff competency - negative', 'tech support - negative']}",22,manual,"Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica..","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am facut o comanda online la o saniuta si la momentul respectiv aceasta figura cu un stoc suficient. Aceasta a fost confirmata si eu ar fi trebuit sa o ridic, infrigurat dar fericit -e adevara, nu asa de fericit ca baiatul meu care ar fi folosit-o-, in aceeasi zi de la acest magazin. Asta intr-o lume mai buna.Ulterior -la cateva ore de la comanda-, chiar cand eram pe drum sa ridic produsul, am fost sunat de un reprezentant Decathlon ca sa mi se comunice ca stocul era gresit, ca nu se scade decat atunci cand se vinde produsul, ca asta se poate intampla oricui care comanda online, ca_calculatoarele n-au suflet si ca mi se va anula comanda dar ca sunt si doua vesti bune: una ca pot opta pentru livrarea saniutei intr-una din saptamanile viitoare si a doua ca vine primavara si ca pot investi banii in altceva (bauturi racoritoare ca va fi o vara calduroasa).Multumesc pentru seriozitatePS: Am pus acest comentariu si la saniuta dar ea, saraca, nu are nici o vina (ca-i de plastic) cum nici ei nu vor avea cand nu mi-l vor publica.. </s>",service is negative; shop organization is negative; staff competency is negative; tech support is negative,"Am plasat o comanda online la Decathlon, dar experienta a fost una dezamagitoare. La scurt timp dupa plasarea comenzii, am primit un apel care mi-a comunicat ca produsul nu era disponibil, desi site-ul afisase stoc suficient. Reprezentantul companiei mi-a explicat ca sistemul lor de gestionare a stocului are unele limite si ca astfel de situatii pot aparea oricui face comenzi online. Mi s-a oferit optiunea de a astepta livrarea produsului in saptamanile urmatoare, dar aceasta nu a compensat frustrarea initiala. Consider ca serviciul clienti, organizarea magazinului si competenta personalului au fost sub asteptari.",service is negative; shop organization is negative; staff competency is negative; tech support is negative
"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd",431561,"{'choices': ['staff availability - negative', 'shop diversity - negative']}",22,manual,"Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd </s>",staff availability is negative; shop diversity is negative,"Personalul ar trebui să fie mai disponibil în toate raioanele, deoarece mi s-a părut frustrant să caut o pălărie de soare care lipsea... considerând că sezonul estival abia a început, vă rog să extindeți gama de produse pentru plajă și articole de protecție solară.",staff availability is negative; shop diversity is negative
"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.",431563,"{'choices': ['staff availability - negative', 'shop organization - negative']}",22,manual,"Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete. </s>",staff availability is negative; shop organization is negative,"Produsele lipseau de pe raft, aşa cum era indicat pe etichetă, iar personalul pentru consiliere în ceea ce priveşte bicicletele era absent.",staff availability is negative; shop organization is negative
"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.",431567,"{'choices': ['environment - negative', 'staff competency - negative']}",22,manual,"Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam. </s>",environment is negative; staff competency is negative,"Ne-a fost foarte greu sa navigam prin magazin din cauza aglomeratiei si a lipsei de ordine. Copiii alergau cu biciclete si trotinete, iar parintii lor erau complet absenti, lasandu-i pe angajati sa se descurce cu haosul. Stocurile de produse erau dezorganizate, iar multe dintre ele erau desfacute sau aruncate pe jos, ceea ce a facut dificil pentru noi sa gasim ceva intact.",environment is negative; staff competency is negative
Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,431571,"{'choices': ['staff availability - negative', 'staff competency - negative']}",22,manual,Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic </s>,staff availability is negative; staff competency is negative,"Am stat mult timp în casă până când a venit un angajat de afară care fuma. Doi angajați au venit la casa pentru a încasa, dar s-au certat acolo, aruncând produsele și ieșind din magazin. Acest lucru m-a afectat psihic.",staff availability is negative; staff competency is negative
